Business Photo,Business Alias,Business Name,Rating,Images,Language,Review,Cool Count,Funny Count,Useful Count,Photo User Url,Display Name,Location,Author Friend Count,Author Review Count,Author Photo Count,Truncated Elite Year,Feedback Date,Reply Text,Reply Name,Reply Photo,Reply Date,Check In Count,Is First Reviewer,Has Placed Reservation
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,1,,en,"I was wrong about the technician's name. Also, 2 rooms still have bright florescent urine stains and odor. Tile floor clean except corners and around all baseboards! If the job had been done correctly he first time I wouldn't need to call them back. Will be calling the office to complain about entire experience! We will see if their customer service is truly as good as some other reviews claim!",0,0,0,,Kathy M.,"Mesa, AZ",8,1,0,,2018-10-14,"Thanks for allowing us to come back out and treat the spots that were missed. I appreciate your good words about our techs and even referring us to a friend already!! We appreciate your vote of confidence and appreciate your time in allowing us to get things right. We NEVER intentionally mislead anyone. In fact, we try to give a very fair price range estimate that is higher than we expect but we really did underestimate for you which is never a good surprise. As you said, nobody's perfect but we do try hard. Thanks, again, for your feedback and time. I'm glad it worked out in the end - JoAnn",JoAnn T.,https://s3-media0.fl.yelpcdn.com/buphoto/GGodn0JgllzlOvtMdH2asQ/90s.jpg,2018-10-19,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"We live in the Southern Valley and have two rooms with white carpets. Chance with Brimley's Chem-Dry treated us really well today when he came by to clean our carpets
He was very explanatory about the process, he listened to us with our concerns about the carpets and our plans for them. He explained the entire process, including the treatment for pet stains, the process for removing dog hair from the carpets, what we can expect after the carpets have been cleaned, what to do with the carpets in their care in the future and was very responsive to our desire to modify the carpet cleaning process today for for our particular needs. 
I strongly recommend Brimley's; and Chance Anderson who did our cleaning today was fantastic. 
This is a great company and we would use them at a drop of a hat for any of our carpet cleaning needs in the future. 
Chance's card is going to go into a really safe place because we feel we got a great value and were treated in a highly professional and competent manner. 
Thank you Brimley's White Glove Chem-Dry; you guys are fantastic, and thank you Chance for doing such an awesome job today!!!",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/tNVM__szaYeoukSapXdBOQ/180s.jpg,Marc B.,"Gilbert, AZ",84,39,15,,2016-01-26,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,1,,en,"They came a couple of weeks ago and did a carpet cleaning  $500 for the whole house... days later I have found a nail , some dog food from the dog who lived and the cArpet  just doesn't smell clean. .. I feel kinda played...",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/EBWWWV53ZQMzErhxnXzb-Q/180s.jpg,Teresa C.,"Phoenix, AZ",86,136,20,,2015-09-10,"We apologize that we didn't live up to this customer's expectations. We have attempted to contact them but our calls haven't been returned. There were no odor concerns from the customer and the $500 included cleaning a sectional as well. Because the customer was moving in, they chose an additional service of sanitizing (carpet & upholstery) to kill germs and bacteria which also added to the cost. Although our techs are very thorough and our systems powerful, we regret that something like a nail would somehow be missed. We always try to knock our customers socks off with cleaning results AND service but we missed the mark for this customer. We apologize for that and regret we didn't have an opportunity to make things right. We always appreciate feedback and the opportunity to improve!",Michael C.,https://s3-media0.fl.yelpcdn.com/buphoto/ErwZfOEWrrD_tssYE-j2LQ/90s.jpg,2015-10-01,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"I love Brimley's White Glove Chem-Dry carpet cleaning. I called to get a quote to have my carpets cleaned and Joann gave me a reasonable quote and said she could fit me in on the same day...Saturday... WOW! I was impressed with the customer service and the professional way that Chance cleaned our carpets.  He also explained how to further take care of my carpets if there ever was an accident from our pets or a stain in the future. It was a very good experience, I would recommend them highly to my friends and family! I will definitely use them again.",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/VCgxeI4VcZrq2hNHGghKeg/180s.jpg,Sheila F.,"Scottsdale, AZ",11,10,4,,2015-09-20,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Wonderful service! Had my carpets cleaned today and my house smells so wonderful,  very natural and non toxic.  Every spot i wanted cleaned came up and my carpets look brand new again.  Chance was friendly,  efficient,  and punctual.  He even left me a bottle of the cleaner they use for spots in the future.  Would definately recommend to anyone wanting carpets cleaned.  The person who booked my appointment was also very nice,  and the whole process very easy.",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/j3lKgkmeb6bXZjpKCSK4cw/180s.jpg,Mattie A.,"Las Vegas, NV",2,10,1,,2016-03-11,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Such great service, from the first phone call and scheduling to confirmation and follow up.  Our white carpets had seen better days but Brimley's did an amazing job.  There were some stains that were difficult to remove, but they got them out and the carpets look amazing! Phil was friendly and courteous and explained everything; from what he needed to do to an exact price. He did a great job!  We have used their service before and we highly recommend Brimley's in Mesa AZ.",0,0,0,,Lynn O.,"Eugene, OR",0,12,0,,2017-11-18,YAY - Phil loves the challenge of eliminating spots that a customer didn't think would come out. I love his attention to detail. Glad you were thrilled - JoAnn,Michael C.,https://s3-media0.fl.yelpcdn.com/buphoto/ErwZfOEWrrD_tssYE-j2LQ/90s.jpg,2017-11-21,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Absolutely great customer service. From setting up the appointment, to the communication received up to the appointment. Very thorough, professional and courteous. It was a wonderful experience and I would absolutely hire again and also refer to friends and family.",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/6MdyhzXbniZLy24j0yV6hw/180s.jpg,Jeff T.,"Phoenix, AZ",0,4,4,,2015-11-30,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,Very impressed with the entire transaction. Scheduling was a breeze and she was very courteous. Vance did a fantastic job explaining my options and I didn't feel pressured to pay for a service I truly didn't need at this time. It's nice dealing with a company where the techs are dressed professionally and they actually have social skills. I appreciated the follow up phone call and will definitely use Chem Dry next time!,0,0,0,https://s3-media0.fl.yelpcdn.com/photo/vQNhhtQ6I2rtisufM5Lb2g/180s.jpg,T M.,"Gilbert, AZ",0,5,7,,2015-11-23,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"This company always does a fantastic job ! The technicians are always extremely helpful, and efficient- willing to go the extra mile- helping to move items, etc. Chance was our tech the last 2 times and he was wonderful ! Highly recommend this company- the scheduling staff is also extremely helpful and friendly.",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/S0RGk1CY93G61oYxj5t2dw/180s.jpg,Melva S.,"Mesa, AZ",40,6,0,,2015-01-12,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Dave and David did an excellent job on the tile and grout at my home. They also cleaned some carpet and an area rug. It's amazing how much happier having clean floors can make you!  The guys were very nice and professional. When you have kids, these are the type of people you want in your home. I got an appt right away, they did excellent work and were kind and professional. Even got a very nice, personal thank you from them. Always use Chem Dry on carpet. Stays cleaner longer and dries so quickly!",0,0,0,,Kelly D.,"Scottsdale, AZ",0,12,1,,2017-09-06,"Thank you, Kelly! We pride ourselves on our clean-cut technicians and aim for the very best service AND cleaning so we're glad to hear that formula works for you :) Thanks so much for taking the time to share your experience with others - it makes a world of difference to us! We hope to be of service again - JoAnn",Michael C.,https://s3-media0.fl.yelpcdn.com/buphoto/ErwZfOEWrrD_tssYE-j2LQ/90s.jpg,2017-09-08,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"I was scheduled to have carpets cleaned and some of my tile by another  reputable company that I have used for 3 years.....day of scheduled appointment, owner calls and says he is really behind... that was 9:30, appointment was between 9-10:00. We spoke and agreed on the following day... same timeframe. No show, no text, no call. I called around 11:00 and left text message... no response until 12:30... he was ill but would be out in an hour... I told him I have moved on. In the mix of this day, I called Mike at Brimleys , this gentleman listen to my sad story and said ""Let's see what we can do for you to get the job done today."" Omg, within 5 mins he was able to get a team out by 2:30. Casey and Ryan came and did such a fantastic job!! They were very knowledgeable about the company's products and system they used and answered every question I asked. My very clean carpets dried in one half the time as the previous company that used a different water based system. I want to say ""thank you Mike for taking the stress out of my day and also to Casey and Ryan!""  I will see you next year
For sure!! 
My best to you all!",0,0,0,,Karry V.,"Gold Canyon, AZ",0,27,1,,2017-09-01,"Thank you so much for your kind words. We're glad Michael was able to do a little route juggling to enable Ryan and Casey to come to your rescue!! Michael is such a gem in the office-he takes the stress out of a lot of my days :) 

Until next year - JoAnn",Michael C.,https://s3-media0.fl.yelpcdn.com/buphoto/ErwZfOEWrrD_tssYE-j2LQ/90s.jpg,2017-09-08,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Highly recommend their service!  Excellent job on my carpets and very professional service agent.  Took special care with vacuuming and cleaning.  Totally impressed! 
My best experience with a carpet cleaning service and will use them in the future.
Also, timely appointment and office assistance.",0,0,0,,Judy S.,"Chandler, AZ",0,1,0,,2013-05-02,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Jacob has serviced our house before and we were able to have his great service again this morning on SHORT notice !!  We had some pretty bad sudden/fresh marks that he was able to get up and clean, thank god. He was efficient and fast and very understanding to our needs.  You can tell he's compassionate about his work !!  Thanks 
call now if you need your carpets cleaned !!",0,0,0,,Kristin V.,"Gilbert, AZ",0,2,1,,2015-01-21,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"I can say with certainty that the owner of this company cares deeply about the quality of their work. I posted a less than glowing review, and he responded promptly to look in to the matter. He has no record of performing our carpet cleaning, so I will not let a negative review remain here.",0,0,0,https://s3-media0.fl.yelpcdn.com/photo/Q1WfR4PUeKNIRCvaKmlZVQ/180s.jpg,Veronica L.,"Mesa, AZ",4,7,0,,2015-06-13,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Absolutely fantastic service! Well worth the money. Our specialist, Rob, was timely, super friendly, walked me through every step and allowed me to take my son to breakfast versus waiting. He called me both before arrival and when he was finished. The chemicals are baby and pet safe and truly clean amazingly. Also a shout-out to Jenny and Michael in the office. I had to reschedule many times due to mistakes made by our mortgage company, causing a delay in our signing and access to the new house. They helped me and commiserated every time I had to reschedule. I would 100% recommend this company!!!",1,0,0,,Katie R.,"Tempe, AZ",59,11,1,,2016-09-19,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"The dispatcher was able to get someone over the same day. I didn't catch the cleaning Tech's name but he was completely professional, worked around other cleaning people who were in the house without disruption, and did a completely great job. Based on my experience with this one tech I would use this service again.",0,0,2,,David S.,"Mesa, AZ",0,11,0,,2014-06-18,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Rob arrived before his scheduled time.  He was fast, efficient and cleaned my carpets as if they were his own.  I highly recommend Brimley's and Rob's expert service!",0,0,0,,Cheryl A.,"Phoenix, AZ",0,11,1,,2016-11-11,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,Highly recommend these guys. Friendly receptionist got me Saturday appt. Phone quote pretty close to final bill. Tech Jacob was outstanding. Called ahead and was on the early side of the 2 hour window..Also grateful for the short window. Jacob was very conscientious with his work and very mindful of my animals..very pleased with the work and getting out cat urine smell. Even left me a bottle of pet odor cleaner..,0,0,1,,Kern G.,"Gilbert, AZ",0,45,12,,2015-05-26,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,My experience was wonderful with this company! My carpet cleaning tech was Rob and he went above and beyond to ensure I got the correct package for carpet cleaning since I kid moved into a home where the carpets were saturated with cat urine. Rob had exceptional customer service and I am so thankful I used Brimleys White Glove Chem Dry not only because of their products but mainly because Rob's level of professionalism. Thank you Rob!!,0,0,0,,Laura H.,"Queen Creek, AZ",0,7,1,,2016-08-19,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,Fast and good - just make sure you know how the pricing works per square foot in advance,0,0,0,,Chris W.,"Scottsdale, AZ",20,16,0,,2016-02-15,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,3,,en,I just removed a less than stellar review of this business based upon my service experience last week.  Since that time Brimley's has been back in touch and offered an olive branch and a service credit for my trouble.  I appreciate the follow-up and feel it only fair to post this information also.  I will be using their services again and fully expect my future service calls to be as pleasant as in years past.,0,0,0,,Carole P.,"Scottsdale, AZ",0,5,3,,2016-08-13,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"I have used Brimley's multiple times for carpet cleaning and to clean our outdoor furniture.  They do great work, are always on time, always call to let you know when they are coming.  Dave was professional and did a great job.",0,0,0,,Karen K.,"Paradise Valley, AZ",0,6,0,,2016-05-13,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,My carpet is over 10 years old and I have been getting it cleaned regularly by different companies that use a different method.  Before I had it cleaned by Brimley's I was seriously thinking about replacing it.  I had my carpet cleaned 2 weeks ago by a young man named Chance and I have been waiting to post a review because usually all the old spots that were present before the cleaning start to reappear about a week after the cleaning.  I am happy to report that the carpet still looks great!  The whole experience from scheduling the cleaning to having the work done was very positive!,0,0,0,,Steve M.,"Mesa, AZ",0,10,0,,2015-11-30,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"From my initial phone call asking for service, all the way through to the follow-up call they made the next day, everyone was professional and courteous. Dave, who cleaned my carpets, was fantastic! He showed up on time, professionally and cleanly dressed, asked the right questions, and made me feel comfortable right from the start. The carpet looks great, the stains have been removed and I am happy with the results. I highly recommend Brimley's White Glove Chem-Dry!",0,0,0,,Lj W.,"Scottsdale, AZ",0,3,0,,2015-11-07,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,5,,en,"Wonderful customer service!  They did a great job on cleaning the carpets of the home we purchased prior to us moving in.  They had to come back out to clean a very soiled area again...and were so nice and helpful!  You can tell this company takes pride in their reputation and puts the customers FIRST!  Who could ask for anything more, right?",0,0,0,,Tisha L.,"Gilbert, AZ",0,4,0,,2015-04-06,,,,,0,FALSE,FALSE
https://s3-media0.fl.yelpcdn.com/bphoto/5RQKj7ApZFMGQXro9-Gb3Q/180s.jpg,brimleys-white-glove-chem-dry-mesa-2,Brimley's White Glove Chem-Dry,2,,en,"Just had my carpets cleaned and I can't say it's any better than other places I have used.  The technician was professional, on time, and very nice.  The prices aren't bad either.  I have to say though that the product being sold isn't as advertised.  On their website they advertise the ""8 step cleaning process"" and I really only got about 4 of those steps (mind you I did move my own furniture).  The tech came in, looked at the rooms I wanted cleaned, then started the extraction process without even vacuuming or pre-treating. I had to ask about some left over areas that didn't appear clean so he ended up spraying a treatment and re-running the machine over it.  This did not help those areas however and I was told it was just due to wear.  This may be correct but I just didn't feel like I should have had to ask to get a treatment that should have been done in the first place .  The rest of the carpet looked good.  Overall not a bad experience, I just like to get what is advertised.",2,0,2,,D R.,"Gilbert, AZ",0,7,0,,2015-04-01,I'm so sorry we didn't meet your expectations! We do have an 8-step cleaning process and do expect our technicians to follow it on every job. I appreciate the feedback and have shared it with my team so we can be sure everyone is doing everything they can to delight our customers. I hope you will give us another chance someday.,Michael C.,https://s3-media0.fl.yelpcdn.com/buphoto/ErwZfOEWrrD_tssYE-j2LQ/90s.jpg,2015-04-06,0,FALSE,FALSE
